positive,negative,c_target,y-axis,mean_err,x-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
245,343,5,0.8,0.41000000000000003,0.41000000000000003,0.06480000000000001,0.34695121951219515,0.6098502304147468,"(245, 343)"
245,500,7,0.88,0.21,0.21,0.0,0.24695121951219512,0.46123271889400924,"(245, 500)"
255,605,17,1.0,0.62,0.62,0.0256,0.156794425087108,0.4086789554531489,"(255, 605)"
255,901,5,0.88,0.53,0.53,0.04374999999999998,0.2761324041811847,0.6014400921658989,"(255, 901)"
260,105,13,0.19,0.32999999999999996,0.32999999999999996,0.0,0.2943485086342229,0.4584485407066051,"(260, 105)"
260,936,5,0.8,0.6799999999999999,0.6799999999999999,0.0,0.1020408163265306,0.6004032258064519,"(260, 936)"
273,371,13,0.78,0.24,0.24,0.0,0.24488491048593347,0.4378456221198156,"(273, 371)"
273,741,7,0.8,0.4,0.4,0.0,0.1323529411764706,0.46307603686635945,"(273, 741)"
275,365,11,0.58,0.56,0.56,0.007290000000000003,0.20555555555555555,0.4676843317972349,"(275, 365)"
275,946,5,0.67,0.51,0.51,0.010440000000000001,0.25179211469534046,0.6131336405529957,"(275, 946)"
280,730,7,0.74,0.35000000000000003,0.35000000000000003,0.011520000000000002,0.25,0.46123271889400924,"(280, 730)"
280,749,5,0.69,0.22000000000000003,0.22000000000000003,0.0,0.2910714285714286,0.6098502304147468,"(280, 749)"
286,121,13,0.82,0.36,0.36,0.0,0.19166666666666668,0.45103686635944695,"(286, 121)"
286,663,11,0.37,0.52,0.52,0.0,0.078125,0.46816436251920107,"(286, 663)"
308,21,11,0.41,0.2,0.2,0.0011999999999999997,0.15,0.4631912442396312,"(308, 21)"
308,748,7,0.83,0.46,0.46,0.10287000000000002,0.28750000000000003,0.4649385560675884,"(308, 748)"
315,364,5,0.81,0.44,0.44,0.21,0.4292929292929292,0.6264976958525348,"(315, 364)"
315,940,7,0.58,0.54,0.54,0.0,0.1111111111111111,0.46123271889400924,"(315, 940)"
325,935,13,0.71,0.45,0.45,0.0,0.11111111111111113,0.4336405529953916,"(325, 935)"
325,936,5,0.52,0.5900000000000001,0.5900000000000001,0.0027999999999999987,0.1388888888888889,0.6004032258064519,"(325, 936)"
330,484,5,0.79,0.59,0.59,0.2268,0.4,0.6131336405529957,"(330, 484)"
330,610,11,0.48,0.47,0.47,0.0072000000000000015,0.18695652173913044,0.4676843317972349,"(330, 610)"
340,629,5,0.69,0.30000000000000004,0.30000000000000004,0.0,0.24624624624624622,0.6014400921658989,"(340, 629)"
340,845,17,0.87,0.43000000000000005,0.43000000000000005,0.00144,0.15596846846846846,0.41735791090629804,"(340, 845)"
350,270,7,0.65,0.27,0.27,0.0,0.22727272727272727,0.46123271889400924,"(350, 270)"
350,532,5,0.47,0.24,0.24,0.0,0.3456937799043062,0.6098502304147468,"(350, 532)"
357,425,7,0.66,0.27,0.27,0.02187,0.2257085020242915,0.4637480798771122,"(357, 425)"
357,672,17,1.0,0.5,0.5,0.10971999999999998,0.6538461538461539,0.40478110599078343,"(357, 672)"
364,798,13,0.8,0.38,0.38,0.0,0.12820512820512822,0.4378456221198156,"(364, 798)"
364,871,7,0.46,0.35,0.35,0.0006000000000000003,0.23346828609986509,0.46307603686635945,"(364, 871)"
374,459,11,0.42,0.5700000000000001,0.5700000000000001,0.019999999999999997,0.10714285714285712,0.47252304147465424,"(374, 459)"
374,660,17,0.99,0.54,0.54,0.0168,0.17857142857142858,0.4131720430107527,"(374, 660)"
385,220,7,0.95,0.37,0.37,0.020000000000000004,0.23128342245989303,0.4599846390168971,"(385, 220)"
385,525,11,0.66,0.53,0.53,0.0,0.056818181818181816,0.4648233486943163,"(385, 525)"
385,539,5,0.79,0.51,0.51,0.04479999999999999,0.2988215488215488,0.596082949308756,"(385, 539)"
390,416,5,0.65,0.56,0.56,0.08749999999999998,0.2943485086342229,0.6004032258064519,"(390, 416)"
390,815,13,0.47,0.6599999999999999,0.6599999999999999,0.01134,0.16086434573829528,0.4461405529953916,"(390, 815)"
420,155,7,0.62,0.63,0.63,0.12000000000000002,0.40416666666666673,0.46123271889400924,"(420, 155)"
420,686,5,0.7,0.66,0.66,0.04499999999999999,0.3541666666666667,0.6098502304147468,"(420, 686)"
425,405,17,0.95,0.55,0.55,0.0,0.12903225806451615,0.4159562211981567,"(425, 405)"
425,493,5,0.5,0.33999999999999997,0.33999999999999997,0.0296,0.34647550776583036,0.6014400921658989,"(425, 493)"
429,65,11,0.5,0.35,0.35,0.022500000000000003,0.25,0.47461597542242684,"(429, 65)"
429,374,13,0.78,0.44,0.44,0.0352,0.3257575757575757,0.4463517665130568,"(429, 374)"
440,280,11,0.59,0.29,0.29,0.005000000000000003,0.23558758314855877,0.4786866359447004,"(440, 280)"
440,627,5,0.7,0.54,0.54,0.15749999999999997,0.3866571018651363,0.6131336405529957,"(440, 627)"
442,85,13,0.9,0.54,0.54,0.00011999999999999992,0.07352941176470587,0.44953917050691233,"(442, 85)"
442,767,17,1.0,0.51,0.51,0.0011199999999999995,0.17611190817790529,0.4116935483870967,"(442, 767)"
455,325,7,0.94,0.43000000000000005,0.43000000000000005,0.1512,0.36627906976744184,0.4599846390168971,"(455, 325)"
455,637,5,0.85,0.42000000000000004,0.42000000000000004,0.0,0.18634466308884914,0.596082949308756,"(455, 637)"
455,700,13,0.82,0.25,0.25,0.0,0.2769933554817276,0.44477726574500764,"(455, 700)"
462,528,7,0.84,0.6499999999999999,0.6499999999999999,0.0,0.10638297872340427,0.4619815668202766,"(462, 528)"
462,714,11,0.25,0.48,0.48,0.013500000000000003,0.21112929623567922,0.46324884792626714,"(462, 714)"
476,35,17,0.99,0.23,0.23,0.04410000000000001,0.3188405797101449,0.4042242703533026,"(476, 35)"
476,816,7,0.82,0.58,0.58,0.008100000000000001,0.06521739130434784,0.4608870967741936,"(476, 816)"
490,485,7,0.68,0.5700000000000001,0.5700000000000001,0.0,0.11627906976744186,0.46123271889400924,"(490, 485)"
490,777,5,0.76,0.5,0.5,0.18144000000000002,0.3829457364341085,0.6098502304147468,"(490, 777)"
495,20,11,0.21,0.31,0.31,0.0,0.21683673469387754,0.4676843317972349,"(495, 20)"
495,583,5,0.79,0.53,0.53,0.004320000000000001,0.21968787515006005,0.6131336405529957,"(495, 583)"
510,75,17,0.74,0.35,0.35,0.0,0.20535714285714285,0.4159562211981567,"(510, 75)"
510,323,5,0.76,0.52,0.52,0.11274999999999999,0.3522727272727273,0.6014400921658989,"(510, 323)"
520,858,5,0.68,0.56,0.56,0.036199999999999996,0.24285714285714283,0.6032258064516132,"(520, 858)"
520,930,13,0.46,0.59,0.59,0.0,0.08571428571428572,0.4461405529953916,"(520, 930)"
525,826,5,0.6,0.6,0.6,0.06720000000000001,0.2925170068027211,0.6098502304147468,"(525, 826)"
525,940,7,0.94,0.58,0.58,0.0,0.1020408163265306,0.46123271889400924,"(525, 940)"
