x,x-axis,c_target,y-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
121,0.35,11,0.0,0.019687500000000014,0.36363636363636365,0.4296819787985864,121
125,0.0,5,0.0,1.0,1.0,0.6204946996466429,125
126,0.6,7,0.01,0.0,0.25,0.4445229681978797,126
132,0.76,11,0.02,0.0,0.20833333333333334,0.4296819787985864,132
133,0.71,7,0.0,0.0,0.21348314606741572,0.4445229681978797,133
135,0.52,5,0.12,0.0032500000000000046,0.2777777777777778,0.6204946996466429,135
136,0.79,17,0.1,0.0,0.20202020202020202,0.3837455830388691,136
145,0.79,5,0.09,0.0,0.20202020202020202,0.6204946996466429,145
147,0.6,7,0.03,0.0,0.25,0.4445229681978797,147
150,0.19,5,0.0,0.26999999999999996,0.5128205128205128,0.6204946996466429,150
153,0.78,17,0.68,0.0,0.2040816326530612,0.3837455830388691,153
155,0.77,5,0.11,0.0,0.2061855670103093,0.6204946996466429,155
156,0.76,13,0.0,0.0,0.20833333333333331,0.3088339222614837,156
160,0.38,5,0.0,0.021599999999999998,0.3448275862068965,0.6204946996466429,160
161,0.68,7,0.19,0.00048000000000000066,0.2,0.4445229681978797,161
168,0.59,7,0.01,0.001000000000000001,0.25316455696202533,0.4445229681978797,168
169,0.39,13,0.01,0.0,0.3389830508474576,0.3088339222614837,169
176,0.8,11,0.0,0.0,0.2,0.4296819787985864,176
180,0.4,5,0.01,0.020999999999999994,0.3333333333333333,0.6204946996466429,180
185,0.75,5,0.22,0.0,0.21052631578947367,0.6204946996466429,185
189,0.52,7,0.99,0.0,0.2777777777777778,0.4445229681978797,189
190,0.7,5,0.8,0.0,0.2222222222222222,0.6204946996466429,190
196,0.39,7,0.0,0.025999999999999995,0.3389830508474576,0.4445229681978797,196
198,0.61,11,0.01,0.0,0.2469135802469136,0.4296819787985864,198
200,0.1,5,0.02,0.5414999999999999,0.6666666666666666,0.6204946996466429,200
203,0.62,7,0.43,0.00037500000000000077,0.20833333333333334,0.4445229681978797,203
